#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,
55,Finland,"1,458,619",,"8,639                                ",,"1,446,874",+359,"3,106",21,"262,580","1,555","12,017,711","2,163,420","5,554,960 ",Europe,,46430,,,559,
56,Kazakhstan,"1,405,753",,"13,695                                ",,"1,383,020",,"9,038",24,"73,197",713,"11,575,012","602,707","19,205,043 ",Asia,,"141,4022",,,471,
57,Slovenia,"1,321,083",,"7,055                                ",,"1,309,915",,"4,113",17,"635,737","3,395","2,823,066","1,358,527","2,078,034 ",Europe,,22951,,,"1,979",
58,Lithuania,"1,295,893",,"9,538                                ",,"1,281,420",,"4,935",9,"486,865","3,583","10,345,791","3,886,899","2,661,708 ",Europe,,22790,,,"1,854",
59,Bulgaria,"1,295,255",,"38,174                                ",,"1,254,246",,"2,835",37,"189,238","5,577","10,979,605","1,604,127","6,844,597 ",Europe,,51791,,,414,
60,Morocco,"1,272,222",,"16,296                                ",,"1,255,852",,74,3,"33,681",431,"12,925,120","342,181","37,772,756 ",Africa,,"302,3183",,,2,
61,Croatia,"1,267,467",,"17,858                                ",,"1,248,978",,631,22,"312,239","4,399","5,472,189","1,348,067","4,059,286 ",Europe,,32271,,,155,
62,Lebanon,"1,228,262",,"10,786                                ",,"1,087,587",,"129,889",74,"183,738","1,613","4,795,578","717,380","6,684,849 ",Asia,,56201,,,"19,430",
63,Guatemala,"1,226,951",,"20,096                                ",,"1,203,020",,"3,835",5,"66,022","1,081","6,738,524","362,597","18,584,039 ",North America,,159253,,,206,
64,Bolivia,"1,187,092",,"22,345                                ",,"1,143,971",,"20,776",220,"98,985","1,863","2,705,422","225,590","11,992,656 ",South America,,105374,,,"1,732",
65,Costa Rica,"1,182,371",,"9,142                                ",,"860,711",,"312,518",52,"228,153","1,764","4,659,757","899,158","5,182,354 ",North America,,45671,,,"60,304",
66,Tunisia,"1,150,278",,"29,302                                ",,N/A,N/A,N/A,44,"95,485","2,432","4,996,410","414,755","12,046,656 ",Africa,,104112,,,911,
