Symbol,LTP,% Change,Open,High,Low,Qty.,PClose,Diff.,,

NICBF,9.06,0.11,9.20,9.01,9.01,"3,900",,
NICD83/84,878.00,0.8,878.00,878.00,878.00,10,,
NICFC,8.42,-0.94,8.42,8.25,8.33,"3,100",,
NICGF,9.73,0,9.76,9.73,9.73,"43,200",,
NICL,505.00,1.2,514.00,490.30,500.00,"30,582",,
NICLBSL,805.00,-2.19,823.00,805.00,806.90,"6,204",,
NICSF,8.15,-2.28,8.36,8.15,8.20,"37,089",,
NIFRA,235.00,-2.08,242.80,235.00,241.00,"131,466",,
NIL,790.00,-0.5,795.00,780.00,780.00,"8,245",,
NLBBL,"1,020.00",-0.97,"1,040.00","1,017.10","1,034.80","11,239",,
NLG,710.00,0,718.00,696.00,700.00,"13,502",,
NLIC,755.00,-1.18,769.80,748.00,767.00,"87,517",,
NLICL,644.00,-1.38,658.90,640.00,642.10,"29,381",,
NMB,243.00,-0.82,245.00,240.00,245.00,"41,562",,
NMB50,9.97,-1.97,10.10,9.97,10.09,"1,900",,
NMBD87/88,980.00,-2,980.00,980.00,980.00,25,,
NMBHF1,9.91,0.1,9.93,9.91,9.92,"40,964",,
NMBMF,760.00,-1.3,775.00,749.00,765.00,"2,288",,
NMBPO,134.00,0,134.00,134.00,134.00,"9,761",,
NMFBS,"2,289.00",-0.95,"2,330.00","2,280.00","2,330.00","8,487",,
NRIC,838.00,-1.99,855.00,831.00,850.00,"34,960",,
NRN,519.00,-2.63,532.00,518.50,522.40,"11,015",,
NSLB,925.00,-1.16,948.60,921.00,921.00,466,,
NTC,852.00,-1.5,882.00,851.00,882.00,"42,494",,
NUBL,998.00,-0.7,"1,010.00",990.00,"1,000.00","4,210",,
NYADI,355.00,3.2,358.00,331.40,344.00,"19,300",,
OHL,555.10,0.93,570.00,539.10,539.20,"12,398",,
PBD85,770.00,0.65,770.00,770.00,770.00,25,,
PBD88,825.00,-1.9,840.00,825.00,825.00,279,,
PBLD84,866.00,-0.46,870.00,853.10,870.00,194,,
PCBL,222.90,-0.4,228.20,218.90,228.20,"53,496",,
PFL,412.60,-1.1,425.00,410.00,419.00,"30,234",,
PHCL,361.80,-2.22,374.00,355.40,362.60,"57,465",,
PIC,665.20,0.03,678.00,657.00,670.00,"9,396",,
PICL,480.00,0.21,485.00,472.00,480.00,"33,920",,
PLI,527.00,2.63,536.30,497.00,507.00,"23,931",,
PMHPL,272.50,-2.68,284.00,272.50,280.00,"16,349",,
PPCL,377.00,-2.33,385.00,375.00,384.00,"36,149",,
PPL,315.10,-3.05,328.00,309.00,325.00,"25,826",,
PRIN,598.00,-0.17,612.00,587.10,599.00,"8,779",,
PROFL,348.00,-3.33,367.00,348.00,358.00,"14,761",,
PRVU,200.50,-0.99,204.30,200.00,202.00,"50,286",,
PSF,8.36,-0.48,8.51,8.30,8.30,"14,300",,
RADHI,270.60,-1.64,278.00,265.00,269.70,"50,549",,
RBCL,"13,800.00",-0.72,"13,969.90","13,800.00","13,900.00",278,,
RBCLPO,"11,852.00",-2.85,"12,011.00","11,800.00","11,999.00",610,,
RFPL,320.00,3.9,325.00,295.10,302.00,"54,004",,
RHGCL,310.00,-0.96,319.20,300.10,319.20,"37,323",,
RHPL,329.80,0.24,337.90,323.00,324.00,"74,735",,
RIDI,565.00,-0.53,579.00,563.10,579.00,"109,072",,
RLFL,344.00,-2.27,355.00,341.00,345.10,"19,550",,
RLI,457.80,1.06,459.90,446.10,455.00,"9,493",,
RMDC,"1,076.00",-0.38,"1,098.80","1,076.00","1,098.80","8,138",,
RMF1,7.94,4.47,7.94,7.45,7.45,"27,375",,
RSDC,636.00,-0.62,639.00,628.10,628.20,"4,381",,
RULB,945.00,-3.28,977.00,945.00,957.50,"1,593",,
RURU,773.00,-1.53,785.00,770.00,771.50,"1,918",,
